id,cityDesc,provDesc,regDesc,latitude,longitude
388,Claveria,Misamis Oriental,REGION X ,8.617,124.883
389,Columbio,Sultan Kudarat,REGION XII ,6.7,124.933
390,Compostela,Cebu,REGION VII ,10.45,124
391,Compostela,Compostela Valley,REGION XI ,7.667,126.083
392,Concepcion,Iloilo,REGION VI ,11.2,123.1
393,Concepcion,Misamis Occidental,REGION X ,8.417,123.6
394,Concepcion,Romblon,REGION IV-B ,12.925,121.7083
395,Concepcion,Tarlac,REGION III ,15.317,120.65
396,Conner,Apayao,CAR,17.8,121.333
397,Consolacion,Cebu,REGION VII ,10.5,123.95
398,Corcuera,Romblon,REGION IV-B ,12.8,122.05
399,Cordova,Cebu,REGION VII ,10.25,123.95
400,Cordon,Isabela,REGION II,16.667,121.45
401,Corella,Bohol,REGION VII ,9.68,123.92
402,Coron,Palawan,REGION IV-B ,12,120.2
403,Cortes,Bohol,REGION VII ,9.72,123.88
404,Cortes,Surigao del Sur,REGION XIII ,9.233,126.167
405,Cotabato City,Maguindanao,BARMM,7.2,124.85
406,Cuartero,Capiz,REGION VI ,11.35,122.667
407,Cuenca,Batangas,REGION IV-A ,13.91667,121.04472
408,Culaba,Biliran,REGION VIII ,11.65,124.533
409,Culasi,Antique,REGION VI ,11.417,122.067
410,Culion,Palawan,REGION IV-B ,11.83528,119.99333
411,Currimao,Ilocos Norte,REGION I ,18.017,120.483
412,Cuyapo,Nueva Ecija,,15.783,120.667
413,Cuyo,Palawan,REGION IV-B ,10.85,121.017
414,Daanbantayan,Cebu,REGION VII ,11.25,124
415,Daet,Camarines Norte,REGION V ,14.117,122.95
416,Dagami,Leyte,REGION VIII ,11.06111,124.90306
417,Dagohoy,Bohol,REGION VII ,9.92,124.28
418,Daguioman,Abra,CAR,17.45,120.917
419,Dagupan City,Pangasinan,REGION I ,16.03,120.33
420,Dalaguete,Cebu,REGION VII ,9.77,123.53
421,Damulog,Bukidnon,REGION X ,7.483,124.933
422,Danao,Bohol,REGION VII ,10.02,124.27
423,Danao City,Cebu,REGION VII ,10.52,124.03
424,Dangcagan,Bukidnon,REGION X ,7.617,125
425,Danglas,Abra,CAR,17.7,120.65
426,Dao,Capiz,REGION VI ,11.4,122.683
427,Dapa,Dinagat Islands,REGION XIII ,9.767,126.05
428,Dapitan City,Zamboanga del Norte,REGION IX ,8.65,123.417
429,Daraga,Albay,REGION V ,13.16194,123.69389
430,Daram,Samar,REGION VIII ,11.633,124.783
431,Dasmari?ñas City,Cavite,REGION IV-A ,14.32639,120.93611
432,Dasol,Pangasinan,REGION I ,15.98972,119.88056
433,Datu Abdullah Sangki,Maguindanao,BARMM,6.751722,124.491861
434,Datu Anggal Midtimbang,Maguindanao,BARMM,6.93333,124.33333
435,Datu Blah T. Sinsuat,Maguindanao,BARMM,6.92278,123.96833
436,Datu Hoffer Ampatuan,Maguindanao,BARMM,6.8666694,124.45
437,Datu Montawal,Maguindanao,BARMM,7.1,124.76667
438,Datu Odin Sinsuat,Maguindanao,BARMM,7.18889,124.18389
439,Datu Paglas,Maguindanao,BARMM,6.76694,124.85
440,Datu Piang,Maguindanao,BARMM,7.03333,124.5
441,Datu Salibo,Maguindanao,BARMM,7.0166694,124.5
442,Datu Saudi-Ampatuan,Maguindanao,BARMM,6.95722,124.44444
443,Datu Unsay,Maguindanao,BARMM,6.92083,124.45333
444,Dauin,Negros Oriental,REGION VII ,9.2,123.267
445,Dauis,Bohol,REGION VII ,9.62,123.85
446,Davao City,Davao Occidental,REGION XI ,7.196276,125.461807
447,del Carmen,Dinagat Islands,REGION XIII ,9.867,125.967
448,del Gallego,Camarines Sur,REGION V ,13.917,122.6
449,delfin Albano,Isabela,REGION II ,17.317,121.783
450,Diadi,Nueva Vizcaya,REGION II ,16.633,121.35
451,Diffun,Quirino,REGION II ,16.6,121.467
452,Digos City,Davao Occidental,REGION XI ,6.75,125.35
453,Dilasag,Aurora,REGION III ,16.4,122.217
454,Dimasalang,Masbate,REGION V ,12.183,123.867
455,Dimataling,Zamboanga del Sur,REGION IX ,7.533,123.367
456,Dimiao,Bohol,REGION VII ,9.62,124.17
